dataset,alpha,seed,n_lcc,m_lcc,n_comm,Q_orig,m_sparse,realized_retention,Q_fixed_sparse,dQ_fixed,Q_leiden_sparse,dQ_leiden_sparse,F_orig,F_sparse,dF_obs,G_orig,G_sparse,dG_obs,dQ_reconstructed,recon_abs_err,intra_rate,inter_rate,ratio_observed,ratio_predicted,mu_intra,mu_inter,delta,n1,n2
cit-HepTh,0.75,75000,27400,352021,26,0.6566588620689939,146877,0.4172393124273836,0.7045933187236508,0.0479344566546569,0.7196187801246864,0.06295991805569245,0.7344249348760443,0.7704337643061882,0.03600882943014383,0.07776607280705047,0.06584044558253757,-0.011925627224512902,0.04793445665465673,1.6653345369377348e-16,0.437696541640719,0.36066660961834673,0.8240106450610206,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.75,75001,27400,352021,26,0.6566588620689939,146701,0.4167393422551495,0.7045964023658382,0.04793754029684427,0.7152504750405476,0.058591612971553686,0.7344249348760443,0.770383296637378,0.03595836176133371,0.07776607280705047,0.0657868942715396,-0.011979178535510879,0.04793754029684459,3.191891195797325e-16,0.4371434207625332,0.36031362313879856,0.8242457875959422,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.75,75002,27400,352021,26,0.6566588620689939,146632,0.4165433312217169,0.7038838141682096,0.04722495209921562,0.7175463044230367,0.06088744235404275,0.7344249348760443,0.7696682852310546,0.03524335035501025,0.07776607280705047,0.06578447106284521,-0.011981601744205261,0.04722495209921551,1.1102230246251565e-16,0.4365322802118105,0.36126561697758003,0.827580532652224,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.75,75003,27400,352021,26,0.6566588620689939,146632,0.4165433312217169,0.704241841155593,0.04758297908659903,0.7139986980228984,0.05733983595390446,0.7344249348760443,0.7700365540946041,0.03561161921855982,0.07776607280705047,0.06579471293901118,-0.011971359868039294,0.047582979086599114,8.326672684688674e-17,0.4367411510329436,0.36068800273831936,0.825862188358597,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.75,75004,27400,352021,26,0.6566588620689939,146871,0.4172222679896938,0.7033008236572269,0.04664196158823297,0.7129855849415234,0.05632672287252949,0.7344249348760443,0.7690830729007088,0.03465813802466444,0.07776607280705047,0.06578224924348182,-0.011983823563568655,0.0466419615882331,1.249000902703301e-16,0.43691134207238536,0.3627738319356495,0.8303145215112014,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.75,75005,27400,352021,26,0.6566588620689939,146587,0.4164154979390434,0.7036043699948974,0.04694550792590346,0.7193162168138362,0.06265735474484224,0.7344249348760443,0.7693656326959417,0.03494069781989739,0.07776607280705047,0.0657612627010444,-0.01200481010600607,0.04694550792590346,0.0,0.43622670993644913,0.3616293000171145,0.8289939423237009,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.75,75006,27400,352021,26,0.6566588620689939,146498,0.4161626721133114,0.7048237897434563,0.04816492767446234,0.7139506856804859,0.05729182361149199,0.7344249348760443,0.7706248549468252,0.03619992007078088,0.07776607280705047,0.06580106520336894,-0.011965007603681535,0.04816492767446241,6.938893903907228e-17,0.43667539540406836,0.35943650521992127,0.8231205811065317,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.75,75007,27400,352021,26,0.6566588620689939,146505,0.4161825572906162,0.7048621830786723,0.04820332100967839,0.7179726184423657,0.061313756373371775,0.7344249348760443,0.7706972458277874,0.0362723109517431,0.07776607280705047,0.06583506274911512,-0.011931010057935357,0.04820332100967846,6.938893903907228e-17,0.43673728305477444,0.3593402361800445,0.8227835133896205,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.75,75008,27400,352021,26,0.6566588620689939,146719,0.41679047556821897,0.7047874284740533,0.04812856640505936,0.7181729075818415,0.06151404551284756,0.7344249348760443,0.7707318070597536,0.036306872183709316,0.07776607280705047,0.06594437858570047,-0.011821694221350001,0.04812856640505932,4.163336342344337e-17,0.43739483934352674,0.35981088481944207,0.8226226110931528,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.75,75009,27400,352021,26,0.6566588620689939,146907,0.4173245346158326,0.7036185259910691,0.04695966392207518,0.7180762360963475,0.06141737402735359,0.7344249348760443,0.7694255549429231,0.03500062006687876,0.07776607280705047,0.06580702895185378,-0.011959043855196694,0.046959663922075456,2.7755575615628914e-16,0.4372130443695776,0.36232457641622456,0.8287140127272837,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.7999999999999999,80000,27400,352021,26,0.6566588620689939,152817,0.43411330574028256,0.7023775178702637,0.04571865580126977,0.7160004967823566,0.05934163471336262,0.7344249348760443,0.7683830987390147,0.03395816386297035,0.07776607280705047,0.06600558086875093,-0.011760491938299547,0.045718655801269895,1.249000902703301e-16,0.45418573257572536,0.3786047407153859,0.8335901230720892,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
cit-HepTh,0.7999999999999999,80001,27400,352021,26,0.6566588620689939,152681,0.43372696515264714,0.7040377629589768,0.04737890088998287,0.7153868585513489,0.05872799648235494,0.7344249348760443,0.77023991197333,0.03581497709728565,0.07776607280705047,0.0662021490143535,-0.011563923792696967,0.04737890088998262,2.498001805406602e-16,0.45487810066799983,0.3752353243196988,0.8249140237102124,0.6880500689769631,0.08486718251208199,0.05839287078131852,0.026474311730763464,258533,93488
