gen,het_deg,het_size,d_nom,graph_seed,d_avg,mu_real,deg_cv,m,k,sparsifier,target_ret,realized_ret,status,n_metis_seeds,Q_base_mean,Q_base_std,Q_base_min,Q_base_max,AMI_base_mean,AMI_base_std,AMI_base_min,AMI_base_max,Q_sparse_mean,Q_sparse_std,Q_sparse_min,Q_sparse_max,AMI_sparse_mean,AMI_sparse_std,AMI_sparse_min,AMI_sparse_max,dQ,dAMI,worstcase_dQ,worstcase_dAMI
sbm,0,0,25,2,24.7212,0.599242755206058,0.19883797125510866,123606,100,dspar,0.15,0.14943,ok,10,0.3753747512564964,0.006841075321028168,0.36398416403423683,0.38938378132545476,0.9660482835150825,0.014490780166948826,0.942974290638528,0.9952390075333954,0.08838398495785074,0.0004247081062073479,0.08754557551049182,0.08892165939385897,0.13297488421903797,0.0027952706541493374,0.12832615050180318,0.13619251552015113,-0.2869907662986456,-0.8330733992960446,-0.30183820581496296,-0.8669128570315923
sbm,0,0,25,2,24.7212,0.599242755206058,0.19883797125510866,123606,100,random,0.5,0.5,ok,10,0.3753747512564964,0.006841075321028168,0.36398416403423683,0.38938378132545476,0.9660482835150825,0.014490780166948826,0.942974290638528,0.9952390075333954,0.32352756377056835,0.010744731513546192,0.3107463815628237,0.34426867821234086,0.8304593750769664,0.023079632878275667,0.8052852223423003,0.8738695442030121,-0.05184718748592804,-0.1355889084381161,-0.07863739976263107,-0.18995378519109518
sbm,0,0,25,2,24.7212,0.599242755206058,0.19883797125510866,123606,100,random,0.2,0.2,ok,10,0.3753747512564964,0.006841075321028168,0.36398416403423683,0.38938378132545476,0.9660482835150825,0.014490780166948826,0.942974290638528,0.9952390075333954,0.09716296459459518,0.0007514306373647168,0.0957956217719459,0.09852389050692936,0.15825523845772627,0.00397016818325917,0.14996687290340965,0.16507188208578383,-0.2782117866619012,-0.8077930450573563,-0.29358815955350887,-0.8452721346299858
sbm,0,0,25,2,24.7212,0.599242755206058,0.19883797125510866,123606,100,random,0.15,0.15,ok,10,0.3753747512564964,0.006841075321028168,0.36398416403423683,0.38938378132545476,0.9660482835150825,0.014490780166948826,0.942974290638528,0.9952390075333954,0.08809847389284108,0.00016074642757030462,0.08788617153324221,0.08837860730590474,0.13321542133971528,0.001286896155266372,0.13075322834291225,0.1348598227440753,-0.2872762773636553,-0.8328328621753672,-0.3014976097922125,-0.8644857791904832
sbm,0,0,25,3,24.6098,0.5990621622280555,0.1975857182314385,123049,100,lspar,0.5,0.50398,ok,10,0.37959949171845103,0.008877395947898518,0.3572722374009997,0.39097300143529123,0.974750771849466,0.019380704878130813,0.9254618912972057,0.9987514453690504,0.3863988624012786,0.004191008659700305,0.38149556652589334,0.39059915083662183,0.9864191940040431,0.009583754396625555,0.9751296936504288,0.9962557046988894,0.0067993706828275435,0.011668422154577085,-0.009477434909397897,-0.023621751718621575
sbm,0,0,25,3,24.6098,0.5990621622280555,0.1975857182314385,123049,100,lspar,0.2,0.20114,ok,10,0.37959949171845103,0.008877395947898518,0.3572722374009997,0.39097300143529123,0.974750771849466,0.019380704878130813,0.9254618912972057,0.9987514453690504,0.3763490104642665,0.004118906444237063,0.36952805638650654,0.37978025216392514,0.9473899232773567,0.008073358395854536,0.9339562959662697,0.9552877234820247,-0.003250481254184534,-0.027360848572109298,-0.02144494504878469,-0.06479514940278064
sbm,0,0,25,3,24.6098,0.5990621622280555,0.1975857182314385,123049,100,lspar,0.15,0.15426,ok,10,0.37959949171845103,0.008877395947898518,0.3572722374009997,0.39097300143529123,0.974750771849466,0.019380704878130813,0.9254618912972057,0.9987514453690504,0.36472576102980997,0.00310688738826897,0.35817753404193275,0.3697509503121756,0.9171915119233617,0.0052074674049197,0.907043987275542,0.9264715282152028,-0.014873730688641063,-0.057559259926104334,-0.03279546739335848,-0.09170745809350833
sbm,0,0,25,3,24.6098,0.5990621622280555,0.1975857182314385,123049,100,dspar,0.5,0.5007,ok,10,0.37959949171845103,0.008877395947898518,0.3572722374009997,0.39097300143529123,0.974750771849466,0.019380704878130813,0.9254618912972057,0.9987514453690504,0.3174959710065213,0.011233150833539547,0.3008558281771636,0.34115133734386244,0.8191391597105534,0.026774432742612687,0.7797812719572532,0.8757647583151625,-0.062103520711929705,-0.15561161213891261,-0.09011717325812763,-0.21897017341179714
sbm,0,0,25,3,24.6098,0.5990621622280555,0.1975857182314385,123049,100,dspar,0.2,0.20074,ok,10,0.37959949171845103,0.008877395947898518,0.3572722374009997,0.39097300143529123,0.974750771849466,0.019380704878130813,0.9254618912972057,0.9987514453690504,0.09787310845114654,0.0003674130370270338,0.09739697696407781,0.09882971193484026,0.16053711023269365,0.0023100858421159255,0.15777606442944808,0.1646932205133576,-0.2817263832673045,-0.8142136616167723,-0.29357602447121345,-0.8409753809396023
sbm,0,0,25,3,24.6098,0.5990621622280555,0.1975857182314385,123049,100,dspar,0.15,0.15036,ok,10,0.37959949171845103,0.008877395947898518,0.3572722374009997,0.39097300143529123,0.974750771849466,0.019380704878130813,0.9254618912972057,0.9987514453690504,0.0890907516473493,0.000335887097645832,0.08868555809033994,0.08989717579482112,0.13505299516155972,0.002460004741751417,0.1317436839289489,0.14081262650833987,-0.2905087400711017,-0.8396977766879063,-0.3022874433449513,-0.8670077614401015
