comparison,part_a,part_b,ami
extra-extra,extra_906,extra_911,0.7387018089872195
extra-extra,extra_906,extra_912,0.667129588634638
extra-extra,extra_906,extra_913,0.715154052309303
extra-extra,extra_906,extra_914,0.6714090207927104
extra-extra,extra_906,extra_915,0.6911433135908933
extra-extra,extra_906,extra_916,0.7160865677964574
extra-extra,extra_906,extra_917,0.6763932678611778
extra-extra,extra_906,extra_918,0.7063019470725815
extra-extra,extra_906,extra_919,0.6483679769156383
extra-extra,extra_907,extra_908,0.6726722518843143
extra-extra,extra_907,extra_909,0.7450327853955329
extra-extra,extra_907,extra_910,0.7064489181970299
extra-extra,extra_907,extra_911,0.7894434205306154
extra-extra,extra_907,extra_912,0.6815518163660805
extra-extra,extra_907,extra_913,0.6690796242180896
extra-extra,extra_907,extra_914,0.7272665271052572
extra-extra,extra_907,extra_915,0.7196684653053105
extra-extra,extra_907,extra_916,0.7537069666176691
extra-extra,extra_907,extra_917,0.742995706640874
extra-extra,extra_907,extra_918,0.7148960731730395
extra-extra,extra_907,extra_919,0.7182885378547806
extra-extra,extra_908,extra_909,0.7107364714451191
extra-extra,extra_908,extra_910,0.7160693084498032
extra-extra,extra_908,extra_911,0.677765918534853
extra-extra,extra_908,extra_912,0.6530441682994659
extra-extra,extra_908,extra_913,0.7241311378497948
extra-extra,extra_908,extra_914,0.691731466140215
extra-extra,extra_908,extra_915,0.6989752171057979
extra-extra,extra_908,extra_916,0.6501813452145608
extra-extra,extra_908,extra_917,0.7027211061201163
extra-extra,extra_908,extra_918,0.7313335343305487
extra-extra,extra_908,extra_919,0.6908975641724798
extra-extra,extra_909,extra_910,0.6880274898127303
extra-extra,extra_909,extra_911,0.7456499304579705
extra-extra,extra_909,extra_912,0.6934283395606297
extra-extra,extra_909,extra_913,0.7057366632378553
extra-extra,extra_909,extra_914,0.6890029576890528
extra-extra,extra_909,extra_915,0.7132380906527951
extra-extra,extra_909,extra_916,0.7118849580850553
extra-extra,extra_909,extra_917,0.7163919592598736
extra-extra,extra_909,extra_918,0.733761389111835
extra-extra,extra_909,extra_919,0.7142537254542313
extra-extra,extra_910,extra_911,0.725160574581172
extra-extra,extra_910,extra_912,0.6477987667620287
extra-extra,extra_910,extra_913,0.6872176363709033
extra-extra,extra_910,extra_914,0.7191924601621785
extra-extra,extra_910,extra_915,0.7033574153058054
extra-extra,extra_910,extra_916,0.6882986774404829
extra-extra,extra_910,extra_917,0.7624871225947328
extra-extra,extra_910,extra_918,0.7106274347017612
extra-extra,extra_910,extra_919,0.7466221053868065
extra-extra,extra_911,extra_912,0.660363940139683
extra-extra,extra_911,extra_913,0.7029262508822262
extra-extra,extra_911,extra_914,0.742644123036626
extra-extra,extra_911,extra_915,0.7179557719907277
extra-extra,extra_911,extra_916,0.7295621984713633
extra-extra,extra_911,extra_917,0.7619091465501441
extra-extra,extra_911,extra_918,0.782702555975704
extra-extra,extra_911,extra_919,0.7329639332549569
extra-extra,extra_912,extra_913,0.6712266179080736
extra-extra,extra_912,extra_914,0.6321541200196037
extra-extra,extra_912,extra_915,0.674480981809339
extra-extra,extra_912,extra_916,0.6376292732574915
extra-extra,extra_912,extra_917,0.6837060168666139
extra-extra,extra_912,extra_918,0.6520320302744351
extra-extra,extra_912,extra_919,0.6901438374139942
extra-extra,extra_913,extra_914,0.6708926385726033
extra-extra,extra_913,extra_915,0.6928514140072465
extra-extra,extra_913,extra_916,0.6852223011960783
extra-extra,extra_913,extra_917,0.7155270875949034
extra-extra,extra_913,extra_918,0.7009954514130206
extra-extra,extra_913,extra_919,0.6976254862458849
extra-extra,extra_914,extra_915,0.7166589954031042
extra-extra,extra_914,extra_916,0.6915783244574419
extra-extra,extra_914,extra_917,0.7267723889688195
extra-extra,extra_914,extra_918,0.7349774804523903
extra-extra,extra_914,extra_919,0.6893473737695924
extra-extra,extra_915,extra_916,0.7024529666214805
extra-extra,extra_915,extra_917,0.7327814655075217
extra-extra,extra_915,extra_918,0.6915899848473519
extra-extra,extra_915,extra_919,0.6895249031748754
extra-extra,extra_916,extra_917,0.6980102260358881
extra-extra,extra_916,extra_918,0.6837014951578446
extra-extra,extra_916,extra_919,0.689536663231372
extra-extra,extra_917,extra_918,0.709389161184685
extra-extra,extra_917,extra_919,0.7934048092701746
extra-extra,extra_918,extra_919,0.6668735237083319
