base_comm,seeded_comm,size_base,size_seeded,overlap,jaccard,L_base,L_seeded,vol_base,vol_seeded,contrib_base,contrib_seeded,d_contrib,status
89,83,7,7,7,1.0,21.0,21.0,43.0,43.0,0.00011612923695496203,0.00011612923695496203,0.0,matched
90,76,7,7,7,1.0,12.0,12.0,26.0,26.0,6.636247419876654e-05,6.636247419876654e-05,0.0,matched
91,82,7,7,7,1.0,14.0,14.0,29.0,29.0,7.742248637294431e-05,7.742248637294431e-05,0.0,matched
92,77,7,7,7,1.0,15.0,15.0,31.0,31.0,8.295220569804673e-05,8.295220569804673e-05,0.0,matched
94,89,6,6,6,1.0,10.0,10.0,21.0,21.0,5.530299731363014e-05,5.530299731363014e-05,0.0,matched
95,92,6,6,6,1.0,12.0,12.0,25.0,25.0,6.636286419506811e-05,6.636286419506811e-05,0.0,matched
96,93,6,6,6,1.0,15.0,15.0,31.0,31.0,8.295220569804673e-05,8.295220569804673e-05,0.0,matched
97,90,6,6,6,1.0,13.0,13.0,27.0,27.0,7.189270587195143e-05,7.189270587195143e-05,0.0,matched
98,91,6,6,6,1.0,5.0,5.0,11.0,11.0,2.7652259531952453e-05,2.7652259531952453e-05,0.0,matched
99,86,6,6,6,1.0,11.0,11.0,24.0,24.0,6.083260193393799e-05,6.083260193393799e-05,0.0,matched
101,87,6,6,6,1.0,15.0,15.0,32.0,32.0,8.29517239379095e-05,8.29517239379095e-05,0.0,matched
103,99,5,5,5,1.0,6.0,6.0,13.0,13.0,3.318252944006888e-05,3.318252944006888e-05,0.0,matched
104,104,5,5,5,1.0,10.0,10.0,21.0,21.0,5.530299731363014e-05,5.530299731363014e-05,0.0,matched
106,103,5,5,5,1.0,7.0,7.0,15.0,15.0,3.871273817229486e-05,3.871273817229486e-05,0.0,matched
107,98,5,5,5,1.0,4.0,4.0,9.0,9.0,2.2121928447945587e-05,2.2121928447945587e-05,0.0,matched
108,102,5,5,5,1.0,10.0,10.0,21.0,21.0,5.530299731363014e-05,5.530299731363014e-05,0.0,matched
109,97,5,5,5,1.0,10.0,10.0,21.0,21.0,5.530299731363014e-05,5.530299731363014e-05,0.0,matched
111,107,5,5,5,1.0,10.0,10.0,21.0,21.0,5.530299731363014e-05,5.530299731363014e-05,0.0,matched
112,95,5,5,5,1.0,10.0,10.0,21.0,21.0,5.530299731363014e-05,5.530299731363014e-05,0.0,matched
113,100,5,5,5,1.0,10.0,10.0,21.0,21.0,5.530299731363014e-05,5.530299731363014e-05,0.0,matched
114,105,5,5,5,1.0,10.0,10.0,21.0,21.0,5.530299731363014e-05,5.530299731363014e-05,0.0,matched
115,101,5,5,5,1.0,9.0,9.0,19.0,19.0,4.9772972109075485e-05,4.9772972109075485e-05,0.0,matched
