arm,mu,d_nom,lfr_seed,noise_pct,detector,sparsifier,target_ret,realized_ret,status,m_clean,m_noisy,n_added,d_avg_clean,d_avg_noisy,k_planted,m_sparse,AMI_base,ARI_base,Q_noisy_base,Q_clean_base,nc_base,AMI,ARI,Q_noisy_transfer,Q_clean_transfer,nc_sparse,cv_sparse,AMI_chance,dAMI,dARI,dQ_noisy,dQ_clean
C,0.5,25,1,10,metis,dspar,0.2,0.20049,ok,118093,129902,11809,23.6186,25.9804,91,26044,0.5253481101415163,0.29415271992599784,0.20616216618419694,0.2157834823554958,91,0.07776501718136933,0.014499301972321525,0.08832440461905985,0.08117534565699194,91,0.016157970169547908,-0.001905144904109359,-0.447583092960147,-0.2796534179536763,-0.11783776156513709,-0.13460813669850386
C,0.5,25,1,25,leiden,lspar,0.5,0.49936,ok,118093,147616,29523,23.6186,29.5232,91,73714,0.6676986626369711,0.5763237887912753,0.30621012996980607,0.36749696988583164,26.333333333333332,0.7226101183133312,0.6886341994824621,0.3022076741955025,0.36843550957606314,35.0,0.5414590689759792,-7.7755671854734e-05,0.05491145567636013,0.11231041069118675,-0.004002455774303582,0.0009385396902314991
C,0.5,25,1,25,metis,lspar,0.5,0.49936,ok,118093,147616,29523,23.6186,29.5232,91,73714,0.4593626570718084,0.24929827106790917,0.18120527802758638,0.20137966936828097,91,0.5308958304697139,0.2961726009153848,0.1783403890440053,0.20561612399000365,91,0.02665745674290779,-0.0028305420177209876,0.07153317339790549,0.04687432984747561,-0.0028648889835810876,0.004236454621722674
C,0.5,25,1,25,leiden,lspar,0.2,0.19696,ok,118093,147616,29523,23.6186,29.5232,91,29074,0.6676986626369711,0.5763237887912753,0.30621012996980607,0.36749696988583164,26.333333333333332,0.6321703825511942,0.610966147135365,0.28179053754813577,0.34022719831416,45.666666666666664,0.606533458380819,-0.0014727987955116199,-0.03552828008577691,0.034642358344089685,-0.0244195924216703,-0.027269771571671653
C,0.5,25,1,25,metis,lspar,0.2,0.19696,ok,118093,147616,29523,23.6186,29.5232,91,29074,0.4593626570718084,0.24929827106790917,0.18120527802758638,0.20137966936828097,91,0.5058327276517415,0.266498302628007,0.16366906912375032,0.18873203626290724,91,0.0216041662648666,-0.0012446884898848955,0.046470070579933076,0.017200031560097834,-0.01753620890383606,-0.012647633105373729
C,0.5,25,1,25,leiden,dspar,0.5,0.50081,ok,118093,147616,29523,23.6186,29.5232,91,73927,0.6676986626369711,0.5763237887912753,0.30621012996980607,0.36749696988583164,26.333333333333332,0.16358210275939555,0.07270410178618301,0.19145424412407616,0.2000104510124572,12.0,0.7295306470087469,2.4640083299498807e-05,-0.5041165598775755,-0.5036196870050923,-0.1147558858457299,-0.16748651887337443
C,0.5,25,1,25,metis,dspar,0.5,0.50081,ok,118093,147616,29523,23.6186,29.5232,91,73927,0.4593626570718084,0.24929827106790917,0.18120527802758638,0.20137966936828097,91,0.21001214262714765,0.09048028585815736,0.13122230669061483,0.12865700365049224,91,0.018122361876973983,0.0010811653554475952,-0.24935051444466075,-0.15881798520975182,-0.04998297133697155,-0.07272266571778874
C,0.5,25,1,25,leiden,dspar,0.2,0.2001,ok,118093,147616,29523,23.6186,29.5232,91,29538,0.6676986626369711,0.5763237887912753,0.30621012996980607,0.36749696988583164,26.333333333333332,0.032149406339022996,0.009020151044645661,0.09004254993371481,0.07880609514004229,63.666666666666664,1.7173042031579904,0.00035899923912934695,-0.6355492562979481,-0.5673036377466296,-0.21616758003609127,-0.28869087474578936
C,0.5,25,1,25,metis,dspar,0.2,0.2001,ok,118093,147616,29523,23.6186,29.5232,91,29538,0.4593626570718084,0.24929827106790917,0.18120527802758638,0.20137966936828097,91,0.05923152207804511,0.010099582293528243,0.0796631832196463,0.06799370927830863,91,0.014744490496453242,0.0013197628924000735,-0.4001311349937633,-0.2391986887743809,-0.10154209480794008,-0.13338596008997233
C,0.5,25,1,50,leiden,lspar,0.5,0.49871,ok,118093,177139,59046,23.6186,35.4278,91,88341,0.5965182241388122,0.4794273205301516,0.2577523299866335,0.3553311968757624,23.666666666666668,0.6720760908894577,0.6223876466401412,0.2521192886224883,0.3602845755196209,31.666666666666668,0.5460258602480191,6.926319883929525e-05,0.07555786675064557,0.14296032610998965,-0.005633041364145219,0.004953378643858475
