network,n,m,sampler,alpha,weighted,rep,sparsify_seed,leiden_seed,m_sparse,retention,Q_P0_orig,Q_P0_sparse,dQ_fixed,Q_sparse_leiden,Q_orig_of_P,Q_base_mean,Q_base_std,Q_base_best,transfer_vs_mean,transfer_vs_best,nc_P0,nc_P,nc_base_mean,t_leiden,ami_P,ari_P,ami_base_mean,ari_base_mean
ca-CondMat,21363,91286,calibrated_matched,0.5361,False,2,202,302,49019,0.5369826698507986,0.731159427192281,0.8003928742300519,0.0692334470377709,0.8289544560808907,0.6684516139263,0.7307902175437482,0.0012269957340993946,0.7324642748961809,-0.06233860361744814,-0.0640126609698809,54,114,55.2,0.6193715090630576,,,,
ca-CondMat,21363,91286,calibrated_matched,0.5361,True,3,203,303,48809,0.5346822075674255,0.731159427192281,0.7344214650244562,0.0032620378321751575,0.8108946444008212,0.643852089963491,0.7307902175437482,0.0012269957340993946,0.7324642748961809,-0.08693812758025721,-0.08861218493268996,54,88,55.2,0.5688093240605667,,,,
ca-CondMat,21363,91286,calibrated_matched,0.5361,False,3,203,303,48809,0.5346822075674255,0.731159427192281,0.8019528787763286,0.0707934515840476,0.8298535820324686,0.6699356678011983,0.7307902175437482,0.0012269957340993946,0.7324642748961809,-0.06085454974254989,-0.06252860709498265,54,111,55.2,0.6163276470033452,,,,
ca-CondMat,21363,91286,calibrated_matched,0.5361,True,4,204,304,48816,0.5347588896435379,0.731159427192281,0.729761285269006,-0.0013981419232750314,0.8106572488124829,0.6515260470924037,0.7307902175437482,0.0012269957340993946,0.7324642748961809,-0.07926417045134448,-0.08093822780377724,54,81,55.2,0.5752644840395078,,,,
ca-CondMat,21363,91286,calibrated_matched,0.5361,False,4,204,304,48816,0.5347588896435379,0.731159427192281,0.8006231985074879,0.06946377131520687,0.8294860373369345,0.6681322830400885,0.7307902175437482,0.0012269957340993946,0.7324642748961809,-0.06265793450365964,-0.0643319918560924,54,108,55.2,0.610738055082038,,,,
email-Enron,33696,180811,paper,0.8,False,0,200,300,70416,0.3894453324189347,0.612428927514086,0.7557367762989351,0.14330784878484915,0.7901583293386669,0.5574896611993446,0.6070973046936826,0.002093816749709252,0.6093568592460408,-0.049607643494337994,-0.05186719804669615,192,373,171.2,0.8963838380295783,,,,
email-Enron,33696,180811,paper,0.8,False,1,201,301,70303,0.3888203704420638,0.612428927514086,0.7552033882252298,0.14277446071114386,0.7940756996985467,0.561329184683553,0.6070973046936826,0.002093816749709252,0.6093568592460408,-0.04576812001012964,-0.0480276745624878,192,402,171.2,0.9096657709451392,,,,
email-Enron,33696,180811,paper,0.8,False,2,202,302,70361,0.38914114738594446,0.612428927514086,0.7549794762429312,0.1425505487288452,0.7911389319111147,0.5536583724029281,0.6070973046936826,0.002093816749709252,0.6093568592460408,-0.05343893229075447,-0.05569848684311263,192,378,171.2,0.8956744809402153,,,,
email-Enron,33696,180811,paper,0.8,False,3,203,303,70044,0.3873879354685279,0.612428927514086,0.7580549372433114,0.14562600972922546,0.794678368419024,0.5600602117351636,0.6070973046936826,0.002093816749709252,0.6093568592460408,-0.04703709295851899,-0.049296647510877145,192,393,171.2,0.8908452319446951,,,,
email-Enron,33696,180811,paper,0.8,False,4,204,304,70112,0.38776401878204314,0.612428927514086,0.7551960507642356,0.14276712325014962,0.7933739207836012,0.5610166154794846,0.6070973046936826,0.002093816749709252,0.6093568592460408,-0.046080689214198056,-0.04834024376655621,192,393,171.2,0.9106292870128527,,,,
